image,label
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-8d6ad8ea-6001-4620-9c1a-3450236de4ea.png?alt=media&token=7bcc8ed0-76c7-4d5b-93ad-bca25a7dcf14,green-1.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-45c326ad-1983-4137-83b5-e8bd63117c7a.png?alt=media&token=950dfc25-bbec-4825-b1b6-fdf383065179,green-2.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-a4362c28-1c55-4e9b-ba7f-557ae677c0c7.png?alt=media&token=de17bdbd-9269-419d-87f8-c481c0f266ad,green-3.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-886cc8cd-6c0f-49da-9f68-ecc394711d2c.png?alt=media&token=140dcbac-92cc-471a-857b-fe9fa1433100,green-4.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-b40de89c-41cd-4b42-9336-59bd9c3c5a67.png?alt=media&token=cb9c9bdd-05c3-418e-b14f-8e4dec7fc5b8,green-5.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-4190612e-d32d-45c5-8e92-4ca11fd2495c.png?alt=media&token=27668339-728f-4559-9674-a3113154efec,green-6.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-8d2c2e79-0dfb-4ef9-851e-9de619253fc4.png?alt=media&token=ffe8055b-92f8-4fac-a435-052d0f93b5cc,gold-1.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-cc9498a4-f411-41ff-a683-3f1869187843.png?alt=media&token=54d9f024-4f7e-4457-bb5f-665e3c9dd433,gold-2.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-615d7421-2ab0-4bb1-a109-cdb765660fb6.png?alt=media&token=bdd312fc-c20a-4d84-bced-9b2faf5b40b3,gold-3.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-6c00c364-617e-4403-a49d-190065d19066.png?alt=media&token=0decf7d5-9233-4795-a1fc-34afaafa1e48,gold-4.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-7c5d287c-cf50-4d76-ae7f-b35be4e10e1b.png?alt=media&token=d4e86d71-86b8-411a-9a50-cda28d85d849,gold-5.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-38e7b47e-3422-4cf0-8642-b61319900782.png?alt=media&token=88f1967d-bbb5-4c41-b64d-539e027573f3,gold-6.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-c3cd6dcb-426b-46e5-a964-7ea4a6ad82eb.png?alt=media&token=fa1c4e31-62f8-4b77-bc9a-f66cf99c38d3,gold-7.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-87b1dfac-80a2-425b-afde-899910f11158.png?alt=media&token=51b2ec51-02d1-48c8-81c3-687aa45580ea,gold-8.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-f7db6892-1cf6-4388-8cea-3b9cafb52fae.png?alt=media&token=e8f8b53d-ed3c-400a-90ba-8b5c059df72d,gold-9.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-e15d1c80-4eca-4793-994a-a0553cfe70fe.png?alt=media&token=0eb081d7-8bec-40a6-b2a9-74b6345fa083,gold-10.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-bd2a16a5-42f8-4d1e-b052-b101fde07f2b.png?alt=media&token=84949a90-d6c5-412d-b6fd-cad6bc62ca4c,gold-11.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-e1b1ee84-1c94-44ef-a651-079fc5ac292b.png?alt=media&token=d18677cd-2aeb-460a-ba4b-a5912691048e,gold-12.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-01d22fd9-5774-4284-9fab-3f1580ff2f6b.png?alt=media&token=4b010bfe-b355-4168-af39-aee05292b257,gold-13.png
https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/qz2ddj-c9adb63b-8f4e-4cd9-b1ba-5f6288d334f3.png?alt=media&token=ff6bc198-fc7a-4271-a1f8-080555f8b32e,gold-14.png
